TA,WS_MAX,HR,PP,timestamp,WD,WS,RG,ingestion_time,source,station,RN
5.56,4.62,11.87,0.0,2019-01-01 01:00:00+00:00,271.57,4.28,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,
4.96,4.22,17.42,0.0,2019-01-01 02:00:00+00:00,288.03,3.86,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,
4.36,3.82,22.97,0.0,2019-01-01 03:00:00+00:00,304.5,3.45,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,
3.76,3.42,28.53,0.0,2019-01-01 04:00:00+00:00,320.97,3.03,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,
3.16,3.02,34.08,0.0,2019-01-01 05:00:00+00:00,337.43,2.62,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,
2.56,2.62,39.63,0.0,2019-01-01 06:00:00+00:00,353.9,2.2,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,15.64244524620085
2.95,3.16,33.19,0.0,2019-01-01 07:00:00+00:00,339.41,2.63,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,18.41740157385222
3.34,3.71,26.75,0.0,2019-01-01 08:00:00+00:00,324.92,3.06,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,21.64285316863146
3.73,4.26,20.31,0.0,2019-01-01 09:00:00+00:00,310.42,3.48,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,25.47544921094041
4.12,4.8,13.88,0.0,2019-01-01 10:00:00+00:00,295.93,3.91,105.44025320829624,2022-07-03 18:42:49.342698,sg,La Paloma ZA,102.4970195227313
4.51,5.35,7.44,0.0,2019-01-01 11:00:00+00:00,281.44,4.34,413.83333246617036,2022-07-03 18:42:49.342698,sg,La Paloma ZA,316.7686147323142
4.9,5.9,1.0,0.0,2019-01-01 12:00:00+00:00,266.95,4.77,719.9804815438898,2022-07-03 18:42:49.342698,sg,La Paloma ZA,517.7873729814015
5.87,5.89,1.04,0.0,2019-01-01 13:00:00+00:00,264.75,4.96,1000.1551924505554,2022-07-03 18:42:49.342698,sg,La Paloma ZA,698.0852410672625
6.84,5.88,1.07,0.0,2019-01-01 14:00:00+00:00,262.56,5.15,1234.9541068627314,2022-07-03 18:42:49.342698,sg,La Paloma ZA,838.5654223612678
7.81,5.87,1.1,0.0,2019-01-01 15:00:00+00:00,260.36,5.33,1408.2933279011918,2022-07-03 18:42:49.342698,sg,La Paloma ZA,921.4310308767957
8.78,5.87,1.13,0.0,2019-01-01 16:00:00+00:00,258.16,5.52,1508.3275465384552,2022-07-03 18:42:49.342698,sg,La Paloma ZA,926.487029278156
9.76,5.86,1.17,0.0,2019-01-01 17:00:00+00:00,255.97,5.71,1528.2232331151206,2022-07-03 18:42:49.342698,sg,La Paloma ZA,818.9171837395836
10.73,5.85,1.2,0.0,2019-01-01 18:00:00+00:00,253.77,5.9,1466.6155812612253,2022-07-03 18:42:49.342698,sg,La Paloma ZA,473.24985862036436
9.64,5.87,3.26,0.0,2019-01-01 19:00:00+00:00,252.16,5.82,1327.7005654029092,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-1806.3145168813287
8.55,5.9,5.33,0.0,2019-01-01 20:00:00+00:00,250.56,5.73,1120.9536965255325,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-1639.0278194549678
7.46,5.92,7.39,0.0,2019-01-01 21:00:00+00:00,248.95,5.65,860.5023008356013,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-1471.7411220286067
6.37,5.94,9.45,0.0,2019-01-01 22:00:00+00:00,247.35,5.57,564.2379244217692,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-1304.4544246022458
5.28,5.97,11.51,0.0,2019-01-01 23:00:00+00:00,245.74,5.48,253.14728789505588,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-1137.1677271758847
4.19,5.99,13.58,0.0,2019-01-02 00:00:00+00:00,244.14,5.4,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-969.8810297495235
4.6,6.01,12.88,0.0,2019-01-02 01:00:00+00:00,244.32,5.45,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-802.5943323231626
5.0,6.03,12.18,0.0,2019-01-02 02:00:00+00:00,244.5,5.51,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-635.3076348968015
5.41,6.05,11.48,0.0,2019-01-02 03:00:00+00:00,244.68,5.56,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-468.02093747044034
5.81,6.07,10.78,0.0,2019-01-02 04:00:00+00:00,244.86,5.62,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-300.7342400440794
6.22,6.09,10.08,0.0,2019-01-02 05:00:00+00:00,245.04,5.67,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-133.44754261771834
6.62,6.12,9.38,0.0,2019-01-02 06:00:00+00:00,245.22,5.72,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,33.8391548086427
7.03,6.14,8.69,0.0,2019-01-02 07:00:00+00:00,245.4,5.78,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,34.56601612075277
7.43,6.16,7.99,0.0,2019-01-02 08:00:00+00:00,245.58,5.83,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,35.37070852397595
7.84,6.18,7.29,0.0,2019-01-02 09:00:00+00:00,245.76,5.88,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,36.244666838947346
8.24,6.2,6.59,0.0,2019-01-02 10:00:00+00:00,245.94,5.94,101.85335696013986,2022-07-03 18:42:49.342698,sg,La Paloma ZA,105.04537885349336
8.65,6.22,5.89,0.0,2019-01-02 11:00:00+00:00,246.12,5.99,410.2713846767182,2022-07-03 18:42:49.342698,sg,La Paloma ZA,314.2683941485249
9.05,6.24,5.19,0.0,2019-01-02 12:00:00+00:00,246.3,6.05,716.73283747749,2022-07-03 18:42:49.342698,sg,La Paloma ZA,522.0635616960509
9.46,6.26,4.49,0.0,2019-01-02 13:00:00+00:00,246.48,6.1,997.3719932021273,2022-07-03 18:42:49.342698,sg,La Paloma ZA,707.4122795049001
9.86,6.28,3.79,0.0,2019-01-02 14:00:00+00:00,246.66,6.15,1232.7472172283178,2022-07-03 18:42:49.342698,sg,La Paloma ZA,851.8619763958918
10.27,6.31,3.1,0.0,2019-01-02 15:00:00+00:00,246.84,6.21,1406.733615531965,2022-07-03 18:42:49.342698,sg,La Paloma ZA,937.3263421262194
10.67,6.33,2.4,0.0,2019-01-02 16:00:00+00:00,247.02,6.26,1507.4407855901522,2022-07-03 18:42:49.342698,sg,La Paloma ZA,942.4604245667009
11.07,6.35,1.7,0.0,2019-01-02 17:00:00+00:00,247.2,6.32,1527.9885317586895,2022-07-03 18:42:49.342698,sg,La Paloma ZA,828.9882096560794
11.48,6.37,1.0,0.0,2019-01-02 18:00:00+00:00,247.38,6.37,1466.9668820592085,2022-07-03 18:42:49.342698,sg,La Paloma ZA,456.32370075694604
10.77,6.21,1.0,0.0,2019-01-02 19:00:00+00:00,247.31,6.1,1328.5312027885188,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-2330.2344731833005
10.06,6.06,1.0,0.0,2019-01-02 20:00:00+00:00,247.23,5.84,1122.1237062082516,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-2114.1225753756103
9.35,5.91,1.0,0.0,2019-01-02 21:00:00+00:00,247.16,5.57,861.8479233958958,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-1898.0106775679196
8.64,5.75,1.0,0.0,2019-01-02 22:00:00+00:00,247.08,5.3,565.582304826549,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-1681.8987797602292
7.93,5.6,1.0,0.0,2019-01-02 23:00:00+00:00,247.01,5.04,254.30754863810927,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-1465.7868819525386
7.23,5.44,1.0,0.0,2019-01-03 00:00:00+00:00,246.94,4.77,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-1249.6749841448482
6.52,5.29,1.0,0.0,2019-01-03 01:00:00+00:00,246.86,4.5,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-1033.5630863371578
5.81,5.13,1.0,0.0,2019-01-03 02:00:00+00:00,246.79,4.24,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-817.4511885294672
5.1,4.98,1.0,0.0,2019-01-03 03:00:00+00:00,246.71,3.97,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-601.3392907217768
4.39,4.82,1.0,0.0,2019-01-03 04:00:00+00:00,246.64,3.7,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-385.22739291408635
3.68,4.67,1.0,0.0,2019-01-03 05:00:00+00:00,246.56,3.44,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,-169.11549510639588
2.97,4.51,1.0,0.0,2019-01-03 06:00:00+00:00,246.49,3.17,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,46.996402701294556
2.94,4.53,1.0,0.0,2019-01-03 07:00:00+00:00,247.4,3.2,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,46.98235867749757
2.91,4.56,1.0,0.0,2019-01-03 08:00:00+00:00,248.31,3.23,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,46.96831054821145
2.87,4.58,1.0,0.0,2019-01-03 09:00:00+00:00,249.22,3.26,0.0,2022-07-03 18:42:49.342698,sg,La Paloma ZA,46.94957334165473
2.84,4.6,1.0,0.0,2019-01-03 10:00:00+00:00,250.13,3.29,98.18467483623711,2022-07-03 18:42:49.342698,sg,La Paloma ZA,109.6596666028861
2.81,4.62,1.0,0.0,2019-01-03 11:00:00+00:00,251.04,3.32,406.63002680901883,2022-07-03 18:42:49.342698,sg,La Paloma ZA,311.5080837442282
2.78,4.64,1.0,0.0,2019-01-03 12:00:00+00:00,251.96,3.35,713.4161288006596,2022-07-03 18:42:49.342698,sg,La Paloma ZA,514.1883471087956
2.74,4.66,1.0,0.0,2019-01-03 13:00:00+00:00,252.87,3.38,994.5276901502476,2022-07-03 18:42:49.342698,sg,La Paloma ZA,696.2943883933036
